TbapName,TbapPrice,TbapDescription,TbapCreatedAt,TbapUpdatedAt
Yeast Dry - Fermipan,68493,Stable burst fracture of unspecified thoracic vertebra,9/17/2024,7/29/2024
Broom And Brush Rack Black,191986,"Corrosion of third degree of right hand, unsp site, init",3/30/2024,12/3/2024
Bread - Onion Focaccia,357913,"Partial traumatic amputation of scrotum and testis, init",1/3/2024,7/22/2024
Jerusalem Artichoke,90936,Rheumatoid myopathy w rheumatoid arthritis of unsp shoulder,2/4/2024,11/11/2024
"Soda Water - Club Soda, 355 Ml",397601,"Arthropathies in oth diseases classd elswhr, unsp shoulder",11/26/2024,4/19/2024
Juice - Mango,55761,"Nodular scler Hodgkin lymph, nodes of head, face, and neck",3/20/2024,7/21/2024
Dates,215065,Varicose veins of other specified sites,11/21/2024,9/10/2024
Tuna - Bluefin,333203,"Greenstick fx shaft of rad, r arm, subs for fx w malunion",9/30/2024,10/14/2024
V8 - Vegetable Cocktail,227600,"Drug-induced interstitial lung disorders, unspecified",6/23/2024,12/29/2023
Muffin Hinge Container 6,69173,"Oth osteopor w crnt path fx, unsp hand, 7thD",10/28/2024,12/31/2023
Wine La Vielle Ferme Cote Du,125884,"Toxic effect of unsp substance, accidental, subs",12/24/2023,9/12/2024
Wine - Rioja Campo Viejo,141289,"Enthesopathy, unspecified",5/27/2024,2/13/2024
Croissants Thaw And Serve,391540,"Toxic effect of rattlesnake venom, undetermined, init encntr",7/23/2024,12/25/2023
Veal - Heart,52436,"Toxic effect of contact w venomous toad, accidental",8/5/2024,4/15/2024
Cattail Hearts,447635,"Other specified joint disorders, knee",9/13/2024,6/11/2024
Bread - Raisin Walnut Oval,183913,"Sprain of oth parts of left shoulder girdle, init encntr",11/23/2024,11/22/2024
Beets - Pickled,194004,"Other hang-glider accident injuring occupant, sequela",7/8/2024,8/14/2024
V8 Splash Strawberry Banana,233255,"Age-rel osteopor w current path fracture, right femur, init",3/28/2024,3/18/2024
Sultanas,36757,"Inj extn/abdr musc/fasc/tend of r thm at forarm lv, subs",7/24/2024,2/20/2024
Coffee - Frthy Coffee Crisp,36687,"Prosth/oth implnt, matrl & hosp/persnl-use dev assoc w incdt",8/25/2024,4/18/2024
Wine - Marlbourough Sauv Blanc,274758,"Person injured in collision betw car and bus, nontraf, subs",12/19/2024,4/14/2024
Cumin - Whole,314475,"Pressure ulcer of sacral region, stage 4",6/17/2024,10/8/2024
"Lamb - Shoulder, Boneless",485796,"Corrosion of unsp degree of unspecified foot, init encntr",3/7/2024,5/21/2024
Garlic - Peeled,294053,"Strain flxr musc/fasc/tend l little fngr at forarm lv, subs",4/3/2024,3/6/2024
Lettuce - Lolla Rosa,88218,"Pasngr in 3-whl mv inj in clsn w nonmtr veh nontraf, subs",1/12/2024,4/17/2024
Lettuce - Curly Endive,278240,"Nondisp oblique fx shaft of l rad, init for opn fx type I/2",9/4/2024,4/9/2024
Steampan - Lid For Half Size,249346,"Driver of military vehicle injured nontraf, sequela",3/20/2024,10/4/2024
"Soup - Campbells, Spinach Crm",396776,"Villonodular synovitis (pigmented), left shoulder",6/14/2024,1/31/2024
Canadian Emmenthal,306951,Essential tremor,9/21/2024,8/31/2024
Shrimp - Black Tiger 26/30,357368,"Disp fx of base of third metacarpal bone, left hand",9/13/2024,11/5/2024
Coffee - Ristretto Coffee Capsule,191598,"Path fracture in neoplastic disease, unsp ankle, sequela",11/1/2024,6/7/2024
Pastry - Banana Muffin - Mini,94106,"Pathological dislocation of unsp wrist, NEC",11/8/2024,6/10/2024
"Crab - Dungeness, Whole",53545,"Disp fx of body of left calcaneus, subs for fx w delay heal",5/24/2024,3/3/2024
Juice - Apple 284ml,465769,"Corrosion of cornea and conjunctival sac, unsp eye, init",6/14/2024,4/29/2024
Langers - Mango Nectar,165217,"Nondisp commnt fx unsp patella, 7thQ",6/30/2024,7/27/2024
Energy Drink Red Bull,340863,"Driver of 3-whl mv inj in nonclsn trnsp acc in traf, sequela",1/25/2024,7/16/2024
Sage Ground Wiberg,200397,2-part nondisp fx of surgical neck of right humerus,5/25/2024,9/20/2024
Wine - Wyndham Estate Bin 777,69298,Dietary zinc deficiency,1/27/2024,1/24/2024
Cheese - Gouda Smoked,158101,"Disp fx of lateral condyle of left femur, init for clos fx",4/29/2024,7/5/2024
"Asparagus - White, Canned",13301,Abrasion of right back wall of thorax,6/18/2024,10/17/2024
Wine - Gato Negro Cabernet,100227,"Activity, hang gliding",11/27/2024,5/18/2024
"Wine - Bourgogne 2002, La",328959,Other leukemias of specified cell type,6/8/2024,8/22/2024
Juice - Cranberry 284ml,74618,"Drug/chem diab with severe nonp rtnop w/o mclr edema, l eye",5/7/2024,5/26/2024
"Bread - Bagels, Plain",16106,"Subacute osteomyelitis, right shoulder",11/12/2024,10/12/2024
Bar Bran Honey Nut,214549,"Dislocation of metacarpophalangeal joint of left thumb, subs",5/16/2024,5/31/2024
Ice Cream Bar - Rolo Cone,355598,"Nondisp apophyseal fx unsp femr, 7thG",10/9/2024,5/11/2024
Yoplait Drink,334994,Cannabis abuse,2/4/2024,10/11/2024
Cheese - Brie,392789,"Bent bone of left ulna, subs for opn fx type I/2 w malunion",12/5/2024,2/19/2024
"Tortillas - Flour, 12",292088,Hypomagnesemia,10/14/2024,12/15/2024
Cheese - Perron Cheddar,182630,"Anaphylactic reaction due to other serum, initial encounter",2/10/2024,8/15/2024
Lettuce - Romaine,254149,"Unspecified mastoiditis, unspecified ear",11/8/2024,8/26/2024
Towel - Roll White,444809,Acute embolism and thrombosis of inferior vena cava,1/2/2024,10/1/2024
Table Cloth 54x54 Colour,132719,"Poisoning by oth psychostimulants, self-harm, init",1/27/2024,5/1/2024
