tbap_name,tbap_price,tbap_description,tbap_created_at,tbap_updated_at
Wine - Manischewitz Concord,63981,Oth congen malform syndromes due to known exogenous causes,6/10/2024,1/5/2024
"Tart Shells - Savory, 3",465313,"Assault by other specified means, initial encounter",8/23/2024,11/14/2024
Food Colouring - Red,287203,"Other osteonecrosis, right foot",10/23/2024,4/22/2024
Beef - Sushi Flat Iron Steak,477301,"Osteolysis, right ankle and foot",12/30/2023,10/9/2024
Tea - Green,159066,"Toxic effect of smoke, accidental (unintentional), init",3/30/2024,7/30/2024
Table Cloth 90x90 White,92119,"Displaced avulsion fx right ilium, subs for fx w nonunion",7/3/2024,10/3/2024
"Beef - Bones, Cut - Up",237050,"Other hammer toe(s) (acquired), left foot",1/25/2024,12/25/2023
Lettuce - Radicchio,393807,"Subluxation of C3/C4 cervical vertebrae, subs encntr",11/5/2024,2/28/2024
Dc - Sakura Fu,485158,"Type 2 diab with severe nonp rtnop without macular edema, bi",7/26/2024,11/18/2024
Blackberries,86658,Cerebellar stroke syndrome,3/25/2024,3/19/2024
Tobasco Sauce,455582,"Other intervertebral disc displacement, thoracolumbar region",11/23/2024,2/23/2024
"Cup - 6oz, Foam",485461,Monoplg upr lmb fol oth ntrm intcrn hemor aff left dom side,10/23/2024,8/31/2024
Cognac - Courvaisier,32698,"Subperiosteal abscess of mastoid, left ear",11/24/2024,12/23/2023
Wine - Jaboulet Cotes Du Rhone,107482,"Displ spiral fx shaft of rad, l arm, 7thK",7/19/2024,11/29/2024
Dip - Tapenade,247740,Injury of unsp blood vessel at shoulder and upper arm level,3/26/2024,12/10/2024
Bread Crumbs - Panko,313045,"Adult physical abuse, suspected, sequela",2/23/2024,1/3/2024
Horseradish Root,271336,Superficial foreign body of lip and oral cavity,1/26/2024,6/9/2024
Chicken - Whole Roasting,144496,Pnctr w fb of l frnt wl of thorax w penet thoracic cavity,5/18/2024,7/6/2024
"Pineapple - Canned, Rings",166781,"Oth foreign object in esophagus causing oth injury, sequela",11/7/2024,7/7/2024
Mussels - Cultivated,2664,Strain of unspecified muscle and tendon at lower leg level,5/21/2024,8/15/2024
"Trout - Hot Smkd, Dbl Fillet",433572,"Legal intervnt w injury by tear gas, suspect injured, subs",7/29/2024,5/7/2024
Cheese - Ricotta,160759,Infect/inflm reaction due to internal fixation device of leg,12/23/2023,3/11/2024
Tamarillo,287834,"Benign neoplasm of female genital organ, unspecified",12/26/2023,1/18/2024
"Syrup - Monin, Swiss Choclate",403556,"Unsp superficial injury of unsp upper arm, init encntr",10/14/2024,9/23/2024
Spice - Chili Powder Mexican,465947,Type 1 diabetes mellitus with ophthalmic complications,7/11/2024,7/1/2024
Coffee Cup 16oz Foam,476235,Unspecified superficial injury of left hand,1/21/2024,4/3/2024
"Beef - Rib Roast, Capless",13175,"Laceration of lung, unilateral, initial encounter",12/2/2024,7/30/2024
Beer - Moosehead,341912,"Exposure to bed fire due to oth burning material, subs",5/20/2024,12/9/2024
Muffin Hinge - 211n,405795,Forced landing of ultralt/microlt/pwr-glider inj occupant,9/30/2024,5/4/2024
Onions Granulated,443884,"Nondisp fx of hook process of hamate bone, l wrist, sequela",10/12/2024,10/28/2024
Pepperoni Slices,411572,"Other osteonecrosis, unspecified toe(s)",11/17/2024,11/29/2024
Anchovy Paste - 56 G Tube,81048,"Displaced unsp fx right lesser toe(s), init for opn fx",7/18/2024,7/8/2024
Glass Clear 8 Oz,318856,"Oth tear of lat mensc, current injury, right knee, init",3/22/2024,12/13/2024
Noodles - Steamed Chow Mein,261846,"Inj unsp blood vessel at ankle and foot level, unsp leg",4/14/2024,11/4/2024
"Juice - Tomato, 48 Oz",227800,Unspecified sprain of other finger,10/12/2024,10/9/2024
"Chocolate - Pistoles, Lactee, Milk",203279,"Displaced unsp fracture of unsp lesser toe(s), init",2/1/2024,10/10/2024
Cheese - Grie Des Champ,117113,Rheumatoid vasculitis with rheumatoid arthritis of left knee,12/16/2024,11/21/2024
Chinese Foods - Plain Fried Rice,330202,"Flail chest, subsequent encounter for fracture with nonunion",7/14/2024,2/20/2024
Oil - Margarine,405912,"Toxic effect of contact w venomous frog, undetermined, subs",7/6/2024,3/7/2024
Tuna - Fresh,394557,"Nondisp commnt fx shaft of humer, l arm, 7thP",1/15/2024,7/14/2024
Tobasco Sauce,93417,"Calcifcn and ossifictn of muscles assoc w burns, l shoulder",12/18/2024,12/31/2023
Milk - Skim,352487,Priapism due to trauma,2/9/2024,2/23/2024
Dooleys Toffee,458901,"Pedl cyc passenger injured in clsn w unsp mv nontraf, subs",6/27/2024,7/2/2024
"Lettuce - Romaine, Heart",473285,Secondary amenorrhea,4/2/2024,1/15/2024
Squash - Acorn,437465,"Path fracture in neoplastic disease, right ankle, init",9/28/2024,7/12/2024
Muffin Mix - Chocolate Chip,283657,"Disp fx of prox phalanx of r mid fngr, 7thK",6/19/2024,6/17/2024
Pastry - Carrot Muffin - Mini,342791,"Oth fracture of shaft of r humerus, subs for fx w nonunion",12/26/2023,10/24/2024
"Sugar - Brown, Individual",192089,"Corrosion of third degree of lower back, initial encounter",2/22/2024,10/11/2024
Pork - Side Ribs,23019,"Osteonecrosis due to previous trauma, shoulder",6/28/2024,9/28/2024
Veal - Inside,67491,Unsp injury of msl/fasc/tnd posterior grp at thigh level,11/26/2024,8/6/2024
Island Oasis - Sweet And Sour Mix,270808,"Unspecified keratoconjunctivitis, right eye",5/23/2024,9/7/2024
